"Lon","Lat","DEPTH_EFH"
-139.5622233,59.9878988,258
-139.5765759,59.95555707,267
-141.419187,60.11038084,158
-139.6558328,59.93032765,168
-139.5909004,59.92321351,242
-141.4317639,60.07785323,75
-141.3661797,60.07160664,166
-141.3006204,60.06532793,78
-139.6700689,59.89797537,276
-141.3132971,60.03281114,130
-139.7491168,59.87269005,87
-139.6842773,59.86562125,275
-141.3913836,60.00655931,117
-141.3259487,60.00029287,48
-139.7632372,59.84032728,59
-139.698458,59.83326531,226
-139.6337064,59.82617176,68
-146.1684458,60.33956445,34
-146.1015972,60.3356515,35
-146.0347647,60.33170545,36
-145.9679484,60.32772631,38
-145.9011484,60.3237141,34
-142.7164447,60.09248932,34
-142.6505992,60.086873,33
-142.5847763,60.08122432,33
-142.518976,60.0755433,34
-142.4531985,60.06982994,34
-141.469346,59.98026175,80
-141.4039484,59.97403346,49
-139.7773301,59.80796268,58
-139.712611,59.80090752,73
-139.6479195,59.79382081,46
-146.3099709,60.31439508,35
-146.2431569,60.31055221,42
-146.1763587,60.30667625,52
-146.1095764,60.30276721,59
-146.0428101,60.29882511,64
-145.97606,60.29484995,67
-145.9093261,60.29084175,68
-145.8426087,60.28680051,53
-145.7759078,60.28272626,59
-145.7092236,60.278619,54
-145.6425562,60.27447874,45
-145.5759057,60.27030551,38
-142.9252119,60.07648432,39
-142.859363,60.07097061,50
-142.7935363,60.06542452,56
-142.7277318,60.05984607,61
-142.6619496,60.05423527,56
-142.5961899,60.04859214,51
-142.5304528,60.04291669,56
-142.4647384,60.03720894,59
-142.3990467,60.03146892,58
-142.333378,60.02569662,60
-142.2677324,60.01989208,47
-142.2021099,60.0140553,45
-142.1365107,60.00818631,38
-142.0709349,60.00228512,42
-142.0053825,59.99635176,43
-141.9398538,59.99038622,44
-141.8743489,59.98438854,39
-141.5471841,59.95391855,82
-141.481824,59.94772835,80
-141.4164884,59.94150613,47
-139.856082,59.78261309,60
-139.7913956,59.77559625,75
-139.7267365,59.76854788,98
-139.6621049,59.76146799,157
-139.5975009,59.75435661,112
-146.4512776,60.28907734,36
-146.3844988,60.28530447,46
-146.3177354,60.28149851,54
-146.2509877,60.27765948,69
-146.1842557,60.2737874,78
-146.1175395,60.26988226,90
-146.0508393,60.2659441,96
-145.9841552,60.2619729,98
-145.9174874,60.2579687,109
-145.8508359,60.2539315,108
-145.7842009,60.24986131,98
-145.7175826,60.24575814,89
-145.650981,60.24162201,75
-145.5843962,60.23745293,62
-145.5178285,60.23325092,53
-145.4512779,60.22901597,48
-145.3847446,60.22474812,42
-145.3182287,60.22044736,36
-144.9859142,60.19845054,34
-144.9195053,60.19395265,37
-144.8531146,60.18942196,40
-144.7867423,60.18485847,40
-144.7203885,60.18026221,37
-144.6540533,60.17563317,35
-143.1337742,60.06015412,36
-143.0679233,60.05474298,54
-143.0020941,60.04929944,86
-142.9362867,60.04382352,89
-142.8705012,60.03831522,91
-142.8047378,60.03277458,94
-142.7389965,60.02720161,94
-142.6732776,60.02159631,73
-142.607581,60.01595871,84
-142.5419069,60.01028883,85
-142.4762554,60.00458668,85
-142.4106267,59.99885227,85
-142.3450209,59.99308563,75
-142.279438,59.98728677,70
-142.2138782,59.98145571,68
-142.1483416,59.97559246,62
-142.0828284,59.96969704,62
-142.0173385,59.96376947,50
-141.9518723,59.95780976,46
-141.8864297,59.95181794,44
-141.8210109,59.94579401,40
-141.755616,59.93973801,33
-141.6902451,59.93364993,35
-141.6248983,59.92752981,41
-141.5595757,59.92137766,85
-141.4942775,59.91519349,65
-139.9993944,59.76416363,36
-139.9347137,59.75721663,71
-139.8700601,59.75023807,93
-139.8054336,59.74322799,80
-139.7408345,59.7361864,87
-139.6762627,59.72911331,201
