manage_area,stratum,used,lower_depth_m,upper_depth_m
Shumagin,14,TRUE,1,50
Shumagin,15,TRUE,51,125
Shumagin,113,TRUE,126,225
Shumagin,211,TRUE,226,700
Shumagin,510,FALSE,701,1000
Shumagin,610,FALSE,1001,3000
Chirikof,23,TRUE,1,50
Chirikof,24,TRUE,51,150
Chirikof,123,TRUE,151,250
Chirikof,232,TRUE,251,350
Chirikof,321,TRUE,351,700
Chirikof,520,FALSE,701,1000
Chirikof,620,FALSE,1001,3000
Kodiak,36,TRUE,1,50
Kodiak,37,TRUE,51,75
Kodiak,38,TRUE,76,125
Kodiak,135,TRUE,126,150
Kodiak,136,TRUE,151,700
Kodiak,530,FALSE,701,1000
Kodiak,630,FALSE,1001,3000
Yakutat,42,TRUE,1,50
Yakutat,43,TRUE,51,100
Yakutat,144,TRUE,101,175
Yakutat,145,TRUE,176,200
Yakutat,242,TRUE,201,700
Yakutat,540,FALSE,701,1000
Yakutat,640,FALSE,1001,3000
Southeastern,51,TRUE,1,100
Southeastern,152,TRUE,101,200
Southeastern,252,TRUE,201,300
Southeastern,253,TRUE,301,700
Southeastern,550,FALSE,701,1000
Southeastern,650,FALSE,1001,3000
